Problem,M,IVFSPEA2_P2_C05_median,IVFSPEA2_P2_C05_formatted,IVFSPEA2_median,IVFSPEA2_formatted,SPEA2_median,SPEA2_formatted,IVFSPEA2_p_raw,IVFSPEA2_direction,SPEA2_p_raw,SPEA2_direction,IVFSPEA2_p_adj,IVFSPEA2_indicator,SPEA2_p_adj,SPEA2_indicator
ZDT1,2,0.7203948576481136,7.20(0.00)e-1,0.7203871653021996,7.20(0.00)e-1,0.7202911439416877,7.20(0.00)e-1,0.9727845283335559,+,3.188804375412958e-05,+,1.0,=,0.000988529356378017,+
ZDT2,2,0.4450037976650099,4.45(0.00)e-1,0.4450124761593731,4.45(0.00)e-1,0.4449575884289416,4.45(0.00)e-1,0.9268162807755412,-,0.0019055592358721235,+,1.0,=,0.04305653803722062,+
ZDT3,2,0.5996495455519573,6.00(0.00)e-1,0.599640623981025,6.00(0.00)e-1,0.5996167522761602,6.00(0.00)e-1,0.6015035440070888,+,0.06279468473018224,+,1.0,=,0.9198857270769799,=
ZDT4,2,0.7204387635397711,7.20(0.00)e-1,0.7203890120836944,7.20(0.00)e-1,0.7203773790725578,7.20(0.00)e-1,0.47048642205878966,+,0.061325715138465325,+,1.0,=,0.9198857270769799,=
ZDT6,2,0.38892003435019107,3.89(0.00)e-1,0.3889223978122778,3.89(0.00)e-1,0.388905803494204,3.89(0.00)e-1,0.5797626862555711,-,7.787596072674796e-08,+,1.0,=,2.9592865076164224e-06,+
DTLZ1,2,0.5824742729319782,5.82(0.00)e-1,0.5824203597374102,5.82(0.00)e-1,0.5824302951612318,5.82(0.00)e-1,0.08952009557288666,+,0.0027033695798386703,+,1.0,=,0.056770761176612075,=
DTLZ2,2,0.3473683673676807,3.47(0.00)e-1,0.3473730821433189,3.47(0.00)e-1,0.34725731302626195,3.47(0.00)e-1,0.9937183530845439,-,1.6029886267627083e-08,+,1.0,=,6.572253369727104e-07,+
DTLZ3,2,0.34626771175484683,3.46(0.02)e-1,0.3465655395488467,3.47(0.01)e-1,0.3462478863493717,3.46(0.01)e-1,0.2669614918310843,-,0.7828910000535008,+,1.0,=,1.0,=
DTLZ4,2,0.3473768780995262,3.47(0.00)e-1,0.3473378710712167,3.47(2.57)e-1,0.34728570309011025,3.47(0.00)e-1,0.10768025042531737,+,0.0005066358477013707,+,1.0,=,0.013679167887937008,+
DTLZ5,2,0.34736061469612545,3.47(0.00)e-1,0.3473668601186025,3.47(0.00)e-1,0.34726138950351126,3.47(0.00)e-1,0.918480094244107,-,1.5465188977592246e-06,+,1.0,=,5.412816142157286e-05,+
DTLZ6,2,0.34758226079076016,3.48(0.00)e-1,0.34758231810885487,3.48(0.00)e-1,0.34755834805405705,3.48(0.00)e-1,0.7191973239605827,-,0.0018720233929226358,+,1.0,=,0.04305653803722062,+
DTLZ7,2,0.24289672868855502,2.43(0.00)e-1,0.24288704255916224,2.43(0.00)e-1,0.24288262303049657,2.43(0.00)e-1,0.04358067872086607,+,0.008353415480806594,+,1.0,=,0.15036147865451868,=
WFG1,2,0.6912626399536068,6.91(0.02)e-1,0.6965408728131814,6.97(0.00)e-1,0.6850015372895414,6.85(0.06)e-1,3.5565709749847226e-21,-,4.3928660847134696e-18,+,1.8138511972422085e-19,-,2.2403617032038697e-16,+
WFG2,2,0.6327007485003775,6.33(0.01)e-1,0.6329113609110977,6.33(0.01)e-1,0.633176855983451,6.33(0.00)e-1,0.13814337940285948,-,2.533628483786217e-06,-,1.0,=,8.360973996494516e-05,-
WFG3,2,0.5816642663434648,5.82(0.01)e-1,0.581609254148599,5.82(0.01)e-1,0.5817211919712375,5.82(0.00)e-1,0.8234832451301565,+,0.5374226858243835,-,1.0,=,1.0,=
WFG4,2,0.34728347846130214,3.47(0.00)e-1,0.34725767950244657,3.47(0.00)e-1,0.3471097303850067,3.47(0.00)e-1,0.24713966130835685,+,1.7413634653257962e-07,+,1.0,=,6.443044821705446e-06,+
WFG5,2,0.3135031339998592,3.14(0.00)e-1,0.3135311520274512,3.14(0.00)e-1,0.313452315289801,3.13(0.00)e-1,0.19938972811623634,-,0.0009530966786731803,+,1.0,=,0.02287432028815633,+
WFG6,2,0.3084201573110323,3.08(0.19)e-1,0.3019188851142376,3.02(0.21)e-1,0.3064870034263414,3.06(0.16)e-1,0.03600852018926173,+,0.48349444993019575,+,1.0,=,1.0,=
WFG7,2,0.34655097673580576,3.47(0.00)e-1,0.3465832482785648,3.47(0.00)e-1,0.34622015423510316,3.46(0.00)e-1,0.3966300408180995,-,1.828916409498497e-09,+,1.0,=,8.047232201793387e-08,+
WFG8,2,0.2900403776528423,2.90(0.01)e-1,0.29001709383956004,2.90(0.01)e-1,0.2899841049290184,2.90(0.01)e-1,0.3302440106827298,+,0.5942157610248888,+,1.0,=,1.0,=
WFG9,2,0.3431161831816379,3.43(0.02)e-1,0.3426450022163767,3.43(0.03)e-1,0.34301468611591085,3.43(0.01)e-1,0.07914482642483141,+,0.42043542573017256,+,1.0,=,1.0,=
MaF1,2,0.5821561136199281,5.82(0.00)e-1,0.5821535269029604,5.82(0.00)e-1,0.582084385979976,5.82(0.00)e-1,0.7548170924825819,+,3.0316439356197907e-06,+,1.0,=,9.70126059398333e-05,+
MaF2,2,0.20732819829313492,2.07(0.00)e-1,0.20731205239567885,2.07(0.00)e-1,0.2072443122283095,2.07(0.00)e-1,0.15567849615993545,+,6.240727377204084e-14,+,1.0,=,3.057956414830001e-12,+
MaF3,2,0.7186593301540114,7.19(0.02)e-1,0.718597118156034,7.19(0.02)e-1,0.7190220624833669,7.19(0.01)e-1,0.9143153009748918,+,0.48022425690439485,-,1.0,=,1.0,=
MaF4,2,0.8187361297015108,8.19(0.01)e-1,0.8185438027689702,8.19(0.01)e-1,0.8187190438155827,8.19(0.00)e-1,0.03694838547763339,+,0.9435118656366177,+,1.0,=,1.0,=
MaF5,2,0.3472609275231393,3.47(2.56)e-1,0.34716868675461077,3.47(2.56)e-1,0.3471833366764784,3.47(0.00)e-1,0.15721275334000376,+,0.07562349968352039,+,1.0,=,0.9198857270769799,=
MaF6,2,0.34756179128154163,3.48(0.00)e-1,0.34755125842479284,3.48(0.00)e-1,0.3475262091811784,3.48(0.00)e-1,0.2624648142789934,+,0.004555540703719808,+,1.0,=,0.09111081407439617,=
MaF7,2,0.24289689609357226,2.43(0.00)e-1,0.24289360021958006,2.43(0.00)e-1,0.24289076655570452,2.43(0.00)e-1,0.21064262026320246,+,0.061325715138465325,+,1.0,=,0.9198857270769799,=
DTLZ1,3,0.842605978162867,8.43(0.00)e-1,0.8425251230471176,8.43(0.00)e-1,0.8424558835641356,8.42(0.00)e-1,0.05309795728558337,+,0.0004243453375935733,+,1.0,=,0.011881669452620052,+
DTLZ2,3,0.556984675943101,5.57(0.01)e-1,0.556944224339982,5.57(0.02)e-1,0.5553075889949874,5.55(0.01)e-1,0.24287851741639732,+,2.217818625519327e-12,+,1.0,=,1.0201965677388904e-10,+
DTLZ3,3,0.5608651189308121,5.61(0.02)e-1,0.5603259387393045,5.60(0.02)e-1,0.5584156068711295,5.58(0.03)e-1,0.17652747915171108,+,5.951455309680416e-09,+,1.0,=,2.559125783162579e-07,+
DTLZ4,3,0.5554213066144913,5.55(2.09)e-1,0.556164133463858,5.56(2.10)e-1,0.553481416150042,5.53(2.07)e-1,0.9644154378132374,-,0.0008514310248050313,+,1.0,=,0.022137206644930813,+
DTLZ5,3,0.19975228581650806,2.00(0.00)e-1,0.1997267132619165,2.00(0.00)e-1,0.199599160193554,2.00(0.00)e-1,0.7990637430120799,+,5.019350885738354e-07,+,1.0,=,1.8069663188658076e-05,+
DTLZ6,3,0.20006872663260544,2.00(0.00)e-1,0.2000891005639785,2.00(0.00)e-1,0.200071219934703,2.00(0.00)e-1,0.10540314683732024,-,0.2831156176842259,-,1.0,=,1.0,=
DTLZ7,3,0.27746399673057454,2.77(0.01)e-1,0.27721929015388547,2.77(0.02)e-1,0.2766767532007425,2.77(0.01)e-1,0.251452888068492,+,5.252983307873023e-05,+,1.0,=,0.001575894992361907,+
WFG1,3,0.946684150892531,9.47(0.01)e-1,0.9467984683661085,9.47(0.01)e-1,0.944464064516462,9.44(0.02)e-1,0.22635132994366647,-,2.6967994403039473e-13,+,1.0,=,1.2674957369428552e-11,+
WFG2,3,0.9296035841767147,9.30(0.02)e-1,0.9302075733701636,9.30(0.02)e-1,0.9304412996350679,9.30(0.02)e-1,0.004264764914030529,-,0.00039981349215198757,-,0.21323824570152644,=,0.01159459127240764,-
WFG3,3,0.39293723319485696,3.93(0.04)e-1,0.394095176166742,3.94(0.04)e-1,0.38912865746416503,3.89(0.03)e-1,0.04091949471374556,-,7.135403182878377e-08,+,1.0,=,2.782807241322567e-06,+
WFG4,3,0.5481608598185319,5.48(0.03)e-1,0.547774949952146,5.48(0.03)e-1,0.5432103744836194,5.43(0.03)e-1,0.16188429211543676,+,4.01812810751515e-16,+,1.0,=,2.009064053757575e-14,+
WFG5,3,0.5155631235583886,5.16(0.02)e-1,0.5145848477451305,5.15(0.02)e-1,0.5139178628566865,5.14(0.02)e-1,0.0072599549881905605,+,5.3216569622874463e-08,+,0.35573779442133746,=,2.1286627849149787e-06,+
WFG6,3,0.5006869799066533,5.01(0.21)e-1,0.4964127122073275,4.96(0.23)e-1,0.49869327966191246,4.99(0.16)e-1,0.20309082727877403,+,0.5236627250972956,+,1.0,=,1.0,=
WFG7,3,0.5470915254559089,5.47(0.03)e-1,0.547452396902292,5.47(0.03)e-1,0.5432260192143565,5.43(0.04)e-1,0.33812499588035305,-,1.941119483244512e-11,+,1.0,=,8.735037674600304e-10,+
WFG8,3,0.4610002725870056,4.61(0.03)e-1,0.4617008470792185,4.62(0.03)e-1,0.4592711039806905,4.59(0.04)e-1,0.17154056282386354,-,0.0008841451175863792,+,1.0,=,0.022137206644930813,+
WFG9,3,0.5218064605412833,5.22(0.07)e-1,0.521246769067231,5.21(0.08)e-1,0.51438405113702,5.14(0.06)e-1,0.5725985170615513,+,8.657388624428917e-09,+,1.0,=,3.636103222260145e-07,+
MaF1,3,0.2197309822999795,2.20(0.01)e-1,0.219466086972545,2.19(0.01)e-1,0.2184827087082415,2.18(0.01)e-1,0.18334372897726736,+,1.619423879107136e-13,+,1.0,=,7.773234619714253e-12,+
MaF2,3,0.23958825375951504,2.40(0.02)e-1,0.2389905914635495,2.39(0.02)e-1,0.23915802259317,2.39(0.02)e-1,0.08853377201422956,+,0.024509841210978673,+,1.0,=,0.39215745937565877,=
MaF3,3,0.9627560435241612,9.63(0.01)e-1,0.962767001687264,9.63(0.01)e-1,0.9624419511954849,9.62(0.01)e-1,0.608831388640854,-,0.004555540703719808,+,1.0,=,0.09111081407439617,=
MaF4,3,0.5321018898629926,5.32(0.02)e-1,0.5309952569712519,5.31(0.04)e-1,0.5303423032876691,5.30(0.03)e-1,0.01681376962058303,+,1.9562599839545557e-06,+,0.8070609417879854,=,6.65128394544549e-05,+
MaF5,3,0.554063711771755,5.54(2.10)e-1,0.5552302318426006,5.55(2.10)e-1,0.5539348631845484,5.54(2.08)e-1,0.253629081504266,-,0.40546016943013685,+,1.0,=,1.0,=
MaF6,3,0.20008423314730545,2.00(0.00)e-1,0.2000691243868645,2.00(0.00)e-1,0.20006469250096298,2.00(0.00)e-1,0.04873944832615962,+,0.016574926749853242,+,1.0,=,0.2817737547475051,=
MaF7,3,0.2770319992779976,2.77(0.01)e-1,0.2773643565321915,2.77(0.01)e-1,0.2772091388360025,2.77(0.01)e-1,0.351526021642926,-,0.8521885879273688,-,1.0,=,1.0,=
