Algorithm,IGD
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505100456
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.037238595054593114
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859503013181
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.037238595029789184
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859504702182
AGEMOEAII,0.0372385950243017
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859504642453
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505343385
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859502469366
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.0372385950346046
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859504588636
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859502803043
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.03723859503064436
AGEMOEAII,0.03723859505587116
AGEMOEAII,0.037238595038549566
ARMOEA,0.03977346657541296
ARMOEA,0.03723859505587116
ARMOEA,3.623346740044551
ARMOEA,3.35315623757513
ARMOEA,2.0647669956730086
ARMOEA,2.6822113336292466
ARMOEA,1.8386268163010702
ARMOEA,1.5201383930643226
ARMOEA,2.0146428873402553
ARMOEA,0.795235067584908
ARMOEA,0.037289322026121625
ARMOEA,0.6181956722193747
ARMOEA,4.40428177530832
ARMOEA,0.15514521447030535
ARMOEA,2.140364606577959
ARMOEA,1.295803088119946
ARMOEA,0.037238581077478176
ARMOEA,0.03723859505587116
ARMOEA,1.3725134430767025
ARMOEA,5.059261267249247
ARMOEA,0.49899900295217786
ARMOEA,2.8996792886586107
ARMOEA,5.315978489834597
ARMOEA,0.8343502699482922
ARMOEA,2.277218321581618
ARMOEA,0.6260837746279312
ARMOEA,2.70091972436273
ARMOEA,1.7585528434464006
ARMOEA,0.477041819560715
ARMOEA,5.022953678972766
ARMOEA,2.816810214580772
ARMOEA,3.9422294391447696
ARMOEA,2.1866290404730853
ARMOEA,0.04038843601804694
ARMOEA,0.655950777914772
ARMOEA,0.20114568297082103
ARMOEA,1.8317659397617294
ARMOEA,0.03723859505587116
ARMOEA,0.03723859505587116
ARMOEA,0.03774088655899418
ARMOEA,0.03723859505587116
ARMOEA,0.03723859505587116
ARMOEA,0.909639551385203
ARMOEA,2.1916666553104505
ARMOEA,1.212344566852436
ARMOEA,5.13062683365504
ARMOEA,0.8177180007677229
ARMOEA,2.4823813808384827
ARMOEA,0.0414535214239644
ARMOEA,0.03724404061103319
ARMOEA,0.21471517475670185
ARMOEA,0.04286652832172826
ARMOEA,2.644595250053005
ARMOEA,2.2367964327820142
ARMOEA,3.1746425445470883
ARMOEA,3.269951657181142
ARMOEA,1.5740022774411389
ARMOEA,1.2203024479334268
ARMOEA,1.3468389340618727
ARMOEA,0.21889946999365065
ARMOEA,2.8181413683365863
ARMOEA,2.634503982855692
ARMOEA,3.285348932747472
ARMOEA,3.115375313953841
ARMOEA,3.949498304083308
ARMOEA,0.9766433642668503
ARMOEA,1.0337534010891432
ARMOEA,0.20863824359561395
ARMOEA,2.713517421742575
ARMOEA,0.6470745851353551
ARMOEA,0.7579799657888874
ARMOEA,0.04928847040332296
ARMOEA,0.03723859505587116
ARMOEA,0.6522544210878877
ARMOEA,0.03723859505587116
ARMOEA,3.652366335316402
ARMOEA,1.0208742489599627
ARMOEA,0.21900197111943773
ARMOEA,0.4669901738860007
ARMOEA,2.5019686308549742
ARMOEA,1.1601875434996434
ARMOEA,1.0763927836164187
ARMOEA,0.12023470899223417
ARMOEA,1.0346636216279907
ARMOEA,2.245476997239999
ARMOEA,4.501538777768906
ARMOEA,0.03723859505587116
ARMOEA,0.7322601723645392
ARMOEA,0.037930951833549484
ARMOEA,1.896444682057984
ARMOEA,0.037264469047477884
ARMOEA,3.870134854068479
ARMOEA,1.69694119528351
ARMOEA,3.051350583572883
ARMOEA,0.28609450244624723
ARMOEA,0.03723859505587116
ARMOEA,0.31780036397247535
ARMOEA,4.219045727843579
ARMOEA,2.563972753933558
ARMOEA,3.284118891927769
IVFSPEA2,0.004126635137956391
IVFSPEA2,0.004111212337579865
IVFSPEA2,0.004189072721072221
IVFSPEA2,0.004151837950812387
IVFSPEA2,0.004099465619899007
IVFSPEA2,0.004189809931010528
IVFSPEA2,0.004118319236140853
IVFSPEA2,0.004160789635472675
IVFSPEA2,0.00411314525754962
IVFSPEA2,0.004111080419982791
IVFSPEA2,0.004101141815239771
IVFSPEA2,0.004157120885087646
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
IVFSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MFOSPEA2,0.03723859505587116
MOEAD,1648.3665310624956
MOEAD,1648.4721639347213
MOEAD,1648.5041454758211
MOEAD,1648.405973697254
MOEAD,1648.4795252196345
MOEAD,1648.4400179070817
MOEAD,1648.3878098236135
MOEAD,1648.369909554736
MOEAD,1648.3965226238975
MOEAD,1648.3829541867035
MOEAD,1648.374846897576
MOEAD,1648.381446956164
MOEAD,1648.3900873648422
MOEAD,1648.3789711554602
MOEAD,1648.4134375663361
MOEAD,1648.4586065730582
MOEAD,1648.4662287496146
MOEAD,1648.3607990052642
MOEAD,1648.3705659753875
MOEAD,1648.3685997891257
MOEAD,1648.396542843603
MOEAD,1648.381930028815
MOEAD,1648.3577424100824
MOEAD,1648.3716953219964
MOEAD,1648.3711588612002
MOEAD,1648.4914259312002
MOEAD,1648.372855575872
MOEAD,1648.421249729166
MOEAD,1648.3870684557355
MOEAD,1648.3678815715077
MOEAD,1648.449648692573
