Problem,R,C,IGD_Median,IGD_Mean,IGD_Std,Count
DTLZ1,0.0,0.05,0.020810416767759663,0.020960111209137548,0.000724967618790023,30
DTLZ1,0.0,0.07,0.020565223048957373,0.020736326907914458,0.0004835487688630601,30
DTLZ1,0.0,0.11,0.020669956826802404,0.02098295782258699,0.0010140497265623417,30
DTLZ1,0.0,0.16,0.020457744154561763,0.02066614706962385,0.0005437185668100012,30
DTLZ1,0.0,0.21,0.020940140991782367,0.02104770258326051,0.0007381053268541503,30
DTLZ1,0.0,0.27,0.020876484926455673,0.021741907701176635,0.0025905249945126696,30
DTLZ1,0.0,0.32,0.020536211264514583,0.02088741270897639,0.00089773514781877,30
DTLZ1,0.0,0.42,0.02084821369686638,0.02070173813756499,0.0005406792734083405,30
DTLZ1,0.0,0.53,0.020692123670532934,0.02087614725852699,0.0006903647937556363,30
DTLZ1,0.0,0.64,0.021152862738058685,0.02129738010209231,0.000927183941146446,30
DTLZ1,0.05,0.05,0.020411212657161136,0.020706058685713177,0.0007247543416457733,30
DTLZ1,0.05,0.07,0.020675419816908493,0.020856219654429155,0.0006190676784900843,30
DTLZ1,0.05,0.11,0.020735108129375415,0.02090188951420369,0.0008525068660883995,30
DTLZ1,0.05,0.16,0.02053788636384757,0.02067809529417872,0.0005132887117695551,30
DTLZ1,0.05,0.21,0.02058286459170549,0.03003634177229044,0.04956566833821863,30
DTLZ1,0.05,0.27,0.020714329546604616,0.02093177219537976,0.001052810187593041,30
DTLZ1,0.05,0.32,0.02059999597647176,0.020965325004834095,0.0010392714263095183,30
DTLZ1,0.05,0.42,0.020674477902739474,0.02074655444943065,0.0004973182001988424,30
DTLZ1,0.05,0.53,0.020819843391193717,0.020925186065663445,0.0006175494127778724,30
DTLZ1,0.05,0.64,0.020870349985583125,0.021130333530310838,0.0008707868121739152,30
DTLZ1,0.075,0.05,0.020493819174832027,0.020731894373169194,0.0005522073199664253,30
DTLZ1,0.075,0.07,0.0204691427968375,0.02077391791528262,0.0009127291160462121,30
DTLZ1,0.075,0.11,0.020635748728225684,0.020905245202207243,0.0008852024175240461,30
DTLZ1,0.075,0.16,0.020648095873197513,0.020911041760156953,0.0007165881436932605,30
DTLZ1,0.075,0.21,0.02053732168891282,0.020681622473654317,0.0005396718083745787,30
DTLZ1,0.075,0.27,0.02063793448494357,0.020914722003890933,0.0009614195330238674,30
DTLZ1,0.075,0.32,0.020607910491785883,0.02089002485633881,0.000817729406033541,30
DTLZ1,0.075,0.42,0.020569985713311877,0.020841133025653005,0.0008245490793408058,30
DTLZ1,0.075,0.53,0.0204521552225495,0.02103138750310417,0.0010725544432679981,30
DTLZ1,0.075,0.64,0.02054719365111462,0.021114695498968654,0.0016174804564165633,26
DTLZ1,0.1,0.05,0.020504832908221995,0.02068959851551556,0.0005398629269135367,30
DTLZ1,0.1,0.07,0.020623679101422373,0.020840745562402976,0.0009438175630903574,30
DTLZ1,0.1,0.1,0.0018303808211308499,0.0018321433163408208,1.2904405876146454e-05,30
DTLZ1,0.1,0.11,0.020603176600915235,0.02082064158037192,0.0007037077065398326,30
DTLZ1,0.1,0.125,0.001824751850088514,0.0018279650299895826,1.2719024423033982e-05,30
DTLZ1,0.1,0.15,0.0018268696845008777,0.0018270398539537267,8.878773406044534e-06,30
DTLZ1,0.1,0.16,0.02057988508866491,0.020929100440230407,0.0009836436210410508,30
DTLZ1,0.1,0.21,0.020471828261771498,0.020832885951022825,0.0007851159438338327,30
DTLZ1,0.1,0.27,0.020748897789766733,0.02095165506055524,0.0010090274701860026,30
DTLZ1,0.1,0.32,0.020584059732136017,0.020893119566289694,0.0008264598310762707,30
DTLZ1,0.1,0.42,0.020797679903285342,0.020922737235499873,0.0007114239020416051,30
DTLZ1,0.1,0.53,0.02063954112832562,0.029902790478660027,0.04880813346012874,30
DTLZ1,0.1,0.64,0.020812461470389662,0.021249666773691812,0.0012721550371103505,14
DTLZ1,0.125,0.05,0.02052234605196419,0.02078132583673377,0.0007142174445235704,30
DTLZ1,0.125,0.07,0.020486306055865953,0.020718891454280606,0.0006328574701078487,30
DTLZ1,0.125,0.11,0.02065794965621734,0.02096337928841583,0.0007970149392774501,30
DTLZ1,0.125,0.125,0.0018291076576262542,0.001830239696771939,1.1088212295644466e-05,30
DTLZ1,0.125,0.16,0.020692283003914794,0.020877393859491587,0.0006789348684951892,30
DTLZ1,0.125,0.21,0.020654143256787952,0.02548803875856875,0.022695780549047324,30
DTLZ1,0.125,0.27,0.020454951122240436,0.020767785278880197,0.0006724399464299045,30
DTLZ1,0.125,0.32,0.020613259466342362,0.021042892174740417,0.0009072878569953017,30
DTLZ1,0.125,0.42,0.020746585168406204,0.020995054132286046,0.0008442415038171759,30
DTLZ1,0.125,0.53,0.020869562141026067,0.021087241252805963,0.000788542472151449,30
DTLZ1,0.125,0.64,0.020896608892517345,0.022440058429397936,0.0036566731475891423,9
DTLZ1,0.15,0.05,0.020538144750337637,0.02107031035830086,0.001297889190876561,30
DTLZ1,0.15,0.07,0.020576317296888295,0.0210876500015881,0.0012647883362726811,30
DTLZ1,0.15,0.11,0.020828328413148516,0.020968656670415923,0.0006143699567066423,30
DTLZ1,0.15,0.125,0.0018283451314423417,0.0018347566447015397,2.5621846355314063e-05,30
DTLZ1,0.15,0.16,0.020784556629894153,0.021227363407591078,0.0013089925881004248,30
DTLZ1,0.15,0.21,0.020390793174749167,0.020624922794898186,0.0007006123234235671,30
DTLZ1,0.15,0.27,0.020773203223182983,0.021254023466651194,0.0012898660712263746,30
DTLZ1,0.15,0.32,0.02057858186778012,0.02103276171014682,0.0012350277497250445,30
DTLZ1,0.15,0.42,0.02072647455143308,0.021360415136162225,0.001779214746462085,30
DTLZ1,0.15,0.53,0.02056364141395204,0.020808483490903987,0.0007810504193241107,30
DTLZ1,0.15,0.64,0.020861625025980136,0.021076891566883825,0.000929696047005192,28
DTLZ1,0.2,0.05,0.020694111389158353,0.02142800609893943,0.002186699779034135,30
DTLZ1,0.2,0.07,0.020611622623696257,0.021017072190003615,0.0012959249991787674,30
DTLZ1,0.2,0.11,0.02088854976366547,0.0213637784893918,0.0016663948649727285,30
DTLZ1,0.2,0.16,0.020833968683559106,0.021244647674351348,0.0012722585446636081,30
DTLZ1,0.2,0.21,0.020656280584944453,0.021043446302778504,0.0008604991062080089,30
DTLZ1,0.2,0.27,0.02074655465026389,0.020978572941351508,0.0008843493981384076,30
DTLZ1,0.2,0.32,0.020659347054030927,0.021558455439365787,0.0029062830920870398,30
DTLZ1,0.2,0.42,0.020589217746967675,0.021017761936382405,0.0010428545066126775,30
DTLZ1,0.2,0.53,0.020567605435614075,0.021130442408692867,0.0010771813899849206,30
DTLZ1,0.2,0.64,0.02077010146994663,0.020838018380927643,0.000580351127583435,16
DTLZ1,0.25,0.05,0.020561546600900038,0.020763072009541677,0.0007702726207668114,30
DTLZ1,0.25,0.07,0.020440994363520457,0.020523516411570776,0.000385093547724449,30
DTLZ1,0.25,0.11,0.020617641139142197,0.020788126619159956,0.0007082657889350532,30
DTLZ1,0.25,0.16,0.020569286945140645,0.02111483984503214,0.001434108228042329,30
DTLZ1,0.25,0.21,0.02055488426729384,0.03012171347664985,0.04929126835396762,30
DTLZ1,0.25,0.27,0.020491221176323647,0.021019575707351322,0.001643960906454668,30
DTLZ1,0.25,0.32,0.020804345397829813,0.03002529020557417,0.049146526450835525,30
DTLZ1,0.25,0.42,0.020662070405856964,0.021115961712808547,0.001275798360344275,30
DTLZ1,0.25,0.53,0.021179168312410648,0.021683826869281567,0.00130043743941778,4
DTLZ1,0.25,0.64,0.02431704010367588,0.02431704010367588,0.0,1
DTLZ1,0.3,0.05,0.020573801923003412,0.022154029030029585,0.005478216082362677,30
DTLZ1,0.3,0.07,0.020600435907543003,0.020757207747707677,0.000607912145773727,30
DTLZ1,0.3,0.11,0.020391554488313285,0.030235170175870813,0.051778052486526824,30
DTLZ1,0.3,0.16,0.020591985062344095,0.030052147661812155,0.05001760070927966,30
DTLZ1,0.3,0.21,0.020938745496475362,0.021738788415339477,0.0035951893897924474,30
DTLZ1,0.3,0.27,0.020744337600314328,0.02088484073707842,0.0006216336027236603,30
DTLZ1,0.3,0.32,0.020895865070895997,0.030882398982251084,0.051423893436324496,30
DTLZ1,0.3,0.42,0.020815298361978707,0.02146623612733554,0.0016686916239862849,30
DTLZ1,0.3,0.53,0.021125423300252993,0.021192378834296602,0.0006946039121376199,6
DTLZ1,0.3,0.64,0.020768922840968228,0.02097181115650761,0.0008851020238358314,7
DTLZ2,0.0,0.05,0.05335836181744054,0.053379455844260695,0.00029567916239125325,30
DTLZ2,0.0,0.07,0.053461236806866666,0.053427230959988144,0.0002788610561134213,30
DTLZ2,0.0,0.11,0.05328951710416398,0.05332121945575625,0.00030920908840408187,30
DTLZ2,0.0,0.16,0.05349611652698139,0.05346336575767845,0.00029039064079890674,29
DTLZ2,0.0,0.21,0.05336791948902582,0.053354098011762836,0.00026858620580880134,28
DTLZ2,0.0,0.27,0.053253227356030365,0.05328166721104651,0.00030544971851983907,30
DTLZ2,0.0,0.32,0.05322469648702846,0.05324708716579726,0.00034781650988220523,30
DTLZ2,0.0,0.42,0.05361399680061988,0.05361399680061988,0.0,1
DTLZ2,0.0,0.53,0.053522659680675135,0.05348407547320737,0.00043418826870580203,7
DTLZ2,0.0,0.64,0.053193227036033824,0.05326244107600926,0.0002615828682540157,30
DTLZ2,0.05,0.05,0.053353465787025996,0.053435758962467356,0.00020926270018604363,9
DTLZ2,0.05,0.07,0.05311739950661292,0.05311739950661292,0.0,1
DTLZ2,0.05,0.11,0.05338548082759996,0.05343919039862843,0.0003067691327865415,30
DTLZ2,0.05,0.16,0.05327222371109447,0.05325622455328484,0.0002487839954832278,20
DTLZ2,0.05,0.21,0.05365122031693778,0.05360429810412174,0.0002879036883652473,3
DTLZ2,0.05,0.27,0.05330851956170686,0.05331602862877492,0.0002816645204636277,16
DTLZ2,0.05,0.32,0.053431346594719036,0.053431346594719036,0.0,1
DTLZ2,0.05,0.42,0.05334192905125289,0.053288663353561756,0.00033541215498865943,30
DTLZ2,0.05,0.53,0.053148948230585503,0.053148948230585503,0.00021585800941446853,2
DTLZ2,0.05,0.64,0.05329719565966932,0.053333772845439636,0.0003106865285272192,30
DTLZ2,0.075,0.05,0.05364482265554209,0.0534913624148252,0.0003254401297994138,7
DTLZ2,0.075,0.07,0.05332568684662745,0.05335802173232692,0.000358384425584417,15
DTLZ2,0.075,0.11,0.053372956598495364,0.05333969930124592,0.0002911076589863219,28
DTLZ2,0.075,0.16,0.05331784027063807,0.053242532929141474,0.00029072747921768367,21
DTLZ2,0.075,0.21,0.05335147434463308,0.05320417793410352,0.00034058711319709313,8
DTLZ2,0.075,0.27,0.05336357932669902,0.05334399973641334,0.0003290208320781636,14
DTLZ2,0.075,0.32,0.05330151955228934,0.05326496346699043,0.00019700765576783738,8
DTLZ2,0.075,0.42,0.053100152840529685,0.053100152840529685,5.792056477519139e-05,2
DTLZ2,0.075,0.53,0.053262764136344516,0.053262764136344516,8.919898529993059e-05,2
DTLZ2,0.075,0.64,0.05327078745339063,0.05329298782771203,0.00027538658720294254,30
DTLZ2,0.1,0.05,0.053435427238466275,0.053392524970510113,0.0002726563435961161,9
DTLZ2,0.1,0.07,0.05362604885631657,0.05362604885631657,8.112510743219989e-05,2
DTLZ2,0.1,0.1,0.004145546499301496,0.0041448192066451265,4.0541023900646975e-05,30
DTLZ2,0.1,0.11,0.053480825573162735,0.053447781969780686,0.000311088597503354,22
DTLZ2,0.1,0.125,0.0041356037120826306,0.004138172272917484,3.4830845269058215e-05,30
DTLZ2,0.1,0.15,0.004137458196772637,0.004137892862151775,4.0291813654123106e-05,30
DTLZ2,0.1,0.16,0.05339678812838567,0.05345253190583232,0.00032110092592474275,13
DTLZ2,0.1,0.21,0.05341581177318348,0.05339349172884358,0.00047175454017926147,10
DTLZ2,0.1,0.27,0.053657600765357,0.053657600765357,9.519634271013683e-06,2
DTLZ2,0.1,0.32,0.05284037414087139,0.05284037414087139,0.0,1
DTLZ2,0.1,0.42,0.053847969295824506,0.053847969295824506,0.0,1
DTLZ2,0.1,0.53,0.05338976519230496,0.05338976519230496,0.0,1
DTLZ2,0.1,0.64,0.05338196825884166,0.05335832541355963,0.0003068709757555469,30
DTLZ2,0.125,0.05,0.05339593640637581,0.053408466705036434,0.00032813502729628965,6
DTLZ2,0.125,0.07,0.053305602524442275,0.053232641017707305,0.00028653523644814663,7
DTLZ2,0.125,0.11,0.05332652551833128,0.05337625832051839,0.000129561163511814,4
DTLZ2,0.125,0.125,0.004131390133951173,0.004138248720139198,4.15641582449802e-05,30
DTLZ2,0.125,0.16,0.05323919800737908,0.053312098080103766,0.00015876204367466524,7
DTLZ2,0.125,0.21,0.053432617945779956,0.05339145320392715,0.00025449416544575217,4
DTLZ2,0.125,0.27,0.05324838179791364,0.05331243568509758,0.0002363987689253977,5
DTLZ2,0.125,0.32,0.053559134461631325,0.05360310441232306,0.0002171288891606418,29
DTLZ2,0.125,0.42,0.05337192891888551,0.053350422629343724,0.0003369447567222165,30
DTLZ2,0.125,0.53,0.05325187511194396,0.05333474701165474,0.00028968561697088473,27
DTLZ2,0.125,0.64,0.053445596792804084,0.053439092197123984,6.969847903238312e-05,3
DTLZ2,0.15,0.05,0.05323934606174079,0.0534392620067282,0.00029382352228455845,5
DTLZ2,0.15,0.07,0.053710615669031944,0.053710615669031944,0.0002042663749479874,2
DTLZ2,0.15,0.11,0.053389717750170956,0.05342605542491641,0.0003498089710117631,16
DTLZ2,0.15,0.125,0.004119943391491413,0.004129295316281031,4.456767831591377e-05,30
DTLZ2,0.15,0.16,0.053472902569771705,0.05348446719271269,0.0003179945082772143,12
DTLZ2,0.15,0.21,0.05340246216686423,0.05340246216686423,0.0,1
DTLZ2,0.15,0.27,0.0533164430357263,0.05343494215002004,0.0003183872517609929,10
DTLZ2,0.15,0.32,0.053213531003816913,0.05319683664508588,0.000252051487379832,5
DTLZ2,0.15,0.42,0.05307402695652762,0.05307402695652762,0.0003038637209898075,2
DTLZ2,0.15,0.53,0.05345485737355232,0.05345485737355232,0.00021147171627138375,2
DTLZ2,0.15,0.64,0.053162945370602135,0.053162945370602135,0.0,1
